"URL","Log#","Incident Types","IPRA/COPA Notification Date","Incident Date & Time","District of Occurrence"
"https://www.chicagocopa.org/case/1042469-2/","1042469","Firearm Discharge","01-04-2011","01-04-2011 9:35 pm","10"
"https://www.chicagocopa.org/case/1042532-2/","1042532","Firearm Discharge","01-07-2011","01-07-2011 1:33 am","07"
"https://www.chicagocopa.org/case/1044336-2/","1044336","Firearm Discharge","03-29-2011","03-29-2011 7:48 am","05"
"https://www.chicagocopa.org/case/1045673/","1045673","Firearm Discharge","05-25-2011","05-25-2011 10:30 pm","11"
"https://www.chicagocopa.org/case/1045804/","1045804","Firearm Discharge","05-31-2011","05-31-2011 10:44 pm","05"
"https://www.chicagocopa.org/case/1045950-2/","1045950","Firearm Discharge","06-07-2011","06-07-2011 1:48 am","07"
"https://www.chicagocopa.org/case/1049286-2/","1049286","Incident in Police Custody","10-13-2011","10-13-2011 12:17 am","13"
"https://www.chicagocopa.org/case/1050919-2/","1050919","Firearm Discharge","12-28-2011","12-28-2011 1:42 am","04"
"https://www.chicagocopa.org/case/1052578-2/","1052578","Firearm Discharge","03-14-2012","03-14-2012 8:32 pm","15"
"https://www.chicagocopa.org/case/1052816-2/","1052816","Firearm Discharge","03-24-2012","03-23-2012 11:05 pm","06"
"https://www.chicagocopa.org/case/1053667-2/","1053667","Firearm Discharge","04-30-2012","04-30-2012 2:51 am","10"
"https://www.chicagocopa.org/case/1056252-2/","1056252","Firearm Discharge","08-11-2012","08-11-2012 9:51 pm","Other"
"https://www.chicagocopa.org/case/1056803-2/","1056803","Firearm Discharge","09-04-2012","09-04-2012 3:39 am","03"
"https://www.chicagocopa.org/case/1057079-2/","1057079","Firearm Discharge","09-14-2012","09-14-2012 9:33 pm","05"
"https://www.chicagocopa.org/case/1058279-2/","1058279","Firearm Discharge","11-08-2012","11-08-2012 3:43 pm","03"
"https://www.chicagocopa.org/case/1058573-2/","1058573","Firearm Discharge","11-22-2012","11-22-2012 3:55 pm","08"
"https://www.chicagocopa.org/case/1060762-2/","1060762","Firearm Discharge","03-16-2013","03-16-2013 2:55 am","17"
"https://www.chicagocopa.org/case/1060844-2/","1060844","Firearm Discharge","03-19-2013","03-19-2013 9:50 pm","Other"
"https://www.chicagocopa.org/case/1061883-2/","1061883","Firearm Discharge","04-30-2013","04-30-2013 9:30 pm","04"
"https://www.chicagocopa.org/case/1062377/","1062377","Incident in Police Custody","05-21-2013","05-13-2013 11:00 pm","06"
"https://www.chicagocopa.org/case/1063127-2/","1063127","Firearm Discharge","06-26-2013","06-26-2013 12:09 am","22"
"https://www.chicagocopa.org/case/1063442-2/","1063442","Firearm Discharge","07-11-2013","07-11-2013 1:05 pm","22"
"https://www.chicagocopa.org/case/1065582-2/","1065582","Firearm Discharge","10-18-2013","10-18-2013 1:10 am","09"
"https://www.chicagocopa.org/case/1065714-2/","1065714","Firearm Discharge","10-24-2013","10-24-2013 6:40 pm","05"
"https://www.chicagocopa.org/case/1066296-2/","1066296","Incident in Police Custody","11-26-2013","11-25-2013 7:55 pm","03"
"https://www.chicagocopa.org/case/1066371/","1066371","Incident in Police Custody","12-02-2013","07-25-2013 10:04 pm","04"
"https://www.chicagocopa.org/case/1066725-2/","1066725","Firearm Discharge","12-22-2013","12-22-2013 5:06 pm","06"
"https://www.chicagocopa.org/case/1067572-2/","1067572","Firearm Discharge","02-18-2014","02-18-2014 12:00 am","09, 11"
"https://www.chicagocopa.org/case/1068046-2/","1068046","Firearm Discharge","03-17-2014","03-17-2014 9:51 pm","07"
"https://www.chicagocopa.org/case/1068101-2/","1068101","Firearm Discharge","03-20-2014","03-20-2014 6:42 pm","09"
